id;label
1282823330;I
1124970162;I
1412213718;I
1242402234;I
1239736266;R
1239782428;I
1411824041;I
2121464503;R
1356678952;I
1237498596;I
1239964641;I
1151276612;R
1369028942;I
1371045659;I
1125412437;I
1237575431;R
1143312937;R
1513577830;I
1143593673;I
1125646611;I
1140376541;I
1143947290;R
1411688880;I
1237243181;R
1288544536;I
1148980617;I
1237265035;I
1356669951;R
1151433937;I
1134585864;I
1370956172;I
1369047025;I
1142860830;R
1139111763;I
2122312925;I
2459919994;I
1270028234;I
1151515259;R
1270196193;I
1149649197;I
2459916890;I
1412714016;I
1142729618;I
1411827944;R
1240032290;R
1412162260;I
1412259363;R
1400728117;I
1125074811;I
1143909344;R
