id;label
1238610866;I
1513555346;I
1144307843;I
1239333642;I
1444896178;I
1241719486;I
1140798265;I
1366051544;I
1151525189;I
2610397624;R
1313809416;I
1444938912;R
1149043564;R
1270035611;I
1239231682;I
1237792063;R
2606146691;R
1412235848;R
1434950068;I
1151489251;I
1240360344;I
1811320944;R
1143959459;I
1238250876;I
1145627214;R
1241414075;I
1143812467;R
1126311497;I
1237612342;I
1369183095;I
1942848573;I
1143913220;R
1237388871;R
1242197360;I
1411850882;R
1411838030;I
1222372174;I
1143740240;I
1143705076;R
1143400307;I
1239718771;I
1240641935;I
1146095326;R
1239736266;R
1270465135;I
1238562128;I
1326022798;I
1151557357;I
1140875377;R
1134028800;I
1412256884;I
1239427076;I
1125747635;I
1237561744;R
1242235217;I
2273286723;R
1151105279;I
1239644041;I
1140472851;I
1240032290;R
1125547053;R
1237268511;R
1151685736;I
1239732964;I
1145653366;I
1239790709;I
1143664837;R
1688076598;I
1237382928;I
1239995019;I
1142646100;R
1151223856;I
1357029546;R
1143636694;I
1237718850;I
1811445057;I
1143567465;I
1444937807;I
1143630510;I
1151448916;R
1138642767;I
1241688166;I
1411702495;R
1434975532;I
1151114993;I
1270349437;I
1143302489;I
2122116827;R
1240459778;I
1237578209;I
1238779537;I
1811320644;I
1241372788;I
1239306570;I
1444939955;I
1412356353;R
1242264507;I
1142941709;R
1242215864;I
1143892520;I
